mrp_series,proposed_category,codes,july_demand,confidence
Standard (New Handle),Cocks Standard,35,32693,high
Standard (Old Handle),Cocks Standard,32,2419,high
Cistern,Cistern & Seat Cover,18,8946,high
Cistern's & Seat Cover's Accessories,Cistern & Seat Cover,14,2196,high
Toilet Seat Covers,Cistern & Seat Cover,10,1955,high
Waste Coupling,Accessorise,20,1972,high
Tank Nipples,Accessorise,9,1533,high
Water Tank Line Filter,Accessorise,7,535,high
Washing Machine,Faucets & Jetsprays & Shower,7,312,high
Erosa (Black),Cocks Premium,28,2673,CONFIRM
Cobra,Cocks Premium,29,2523,CONFIRM
Helix,Cocks Premium,31,2342,CONFIRM
Luxor,Cocks Premium,3,2025,CONFIRM
Quadra (Royal),Cocks Premium,18,1765,CONFIRM
Crystal,Cocks Premium,27,1484,CONFIRM
Glory,Cocks Premium,3,1237,CONFIRM
Astra,Cocks Premium,17,723,CONFIRM
Roman,Cocks Premium,26,552,CONFIRM
Diamond,Cocks Premium,29,521,CONFIRM
Flora (Royal),Cocks Premium,18,482,CONFIRM
