code,current_pending,dummy_last_month,stock,draft_production,classification_note
"5771-W","0","0","381","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"C521S","0","0","300","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"EWS04","0","0","88","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"EWS05","0","0","168","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-02","0","0","187","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-03","0","0","68","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-04","0","0","29","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-05","0","0","125","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-06","18","0","116","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-07","0","0","206","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-08","30","43","0","73","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-09","0","0","250","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"MHC-10","0","0","86","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"PLB162","0","0","0","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"PU-4TB","0","0","345","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"PU-5TB","0","0","10","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"PW11C","0","0","36","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"PW91C","0","0","65","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U21T L","0","0","300","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U22TL","0","0","400","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U23TL","0","0","440","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U27 L","0","0","11","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U28L","0","0","3","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"U29 L","0","0","7","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-05","0","0","23","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-05 B","0","0","63","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-05 G","0","0","9","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-05 GD","0","0","16","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-05 Y","0","0","22","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07","0","9","0","9","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07 B","0","0","17","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07 G","0","4","0","4","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07 GD","0","0","8","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07 PG","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-07 Y","0","0","3","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-10","0","25","0","25","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-10 B","0","0","11","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-10 G","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-10 GD","0","0","4","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WCT-3LL-10 P","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-05 B","0","0","5","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-05 G","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-05 LB","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-05 O","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-05 R","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-07 G","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-10 G","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-10 O","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-15 B","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-3LC-15 G","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-4LC-05 Y","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-4LC-07 Y","0","0","1","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
"WT-4LWP-10","0","0","2","0","Absent from authoritative MRP and checked rate-list source; master-data review required."
